externalId;kind;firstName;lastName;companyName;legalIdentifier;email;phone;mobile;addressLine1;addressLine2;postalCode;city;country;notes
DO-0031;company;;;Assureur David SARL;20000000000031;ops31@donneur-31.example.fr;0150000031;;32 rue du Commerce;;76000;Rouen;FR;
DO-0032;individual;Marie;Dubois;;;marie.dubois.do32@example.fr;;0720000032;33 place de la République;;14000;Caen;FR;
DO-0033;company;;;Assureur Bernard EURL;20000000000033;ops33@donneur-33.example.fr;0150000033;;34 chemin des Vignes;;29200;Brest;FR;
DO-0034;company;;;Assureur Dubois SCI;20000000000034;ops34@donneur-34.example.fr;0150000034;;35 impasse des Lilas;;29800;Landerneau;FR;
DO-0035;company;;;Assureur Thomas SAS;20000000000035;ops35@donneur-35.example.fr;0150000035;;36 allée des Tilleuls;;75001;Paris;FR;
DO-0036;individual;Camille;Petit;;;camille.petit.do36@example.fr;;0720000036;37 rue Nationale;;75002;Paris;FR;
DO-0037;company;;;Assureur Richard SA;20000000000037;ops37@donneur-37.example.fr;0150000037;;38 cours Mirabeau;;69001;Lyon;FR;
DO-0038;company;;;Assureur Petit EURL;20000000000038;ops38@donneur-38.example.fr;0150000038;;39 rue de la Paix;;69003;Lyon;FR;
DO-0039;company;;;Assureur Durand SCI;20000000000039;ops39@donneur-39.example.fr;0150000039;;40 avenue Victor Hugo;;13001;Marseille;FR;
DO-0040;individual;Claire;Simon;;;claire.simon.do40@example.fr;;0720000040;41 boulevard Haussmann;;33000;Bordeaux;FR;
DO-0041;company;;;Assureur Moreau SARL;20000000000041;ops41@donneur-41.example.fr;0150000041;;42 rue du Commerce;;31000;Toulouse;FR;
DO-0042;company;;;Assureur Simon SA;20000000000042;ops42@donneur-42.example.fr;0150000042;;43 place de la République;;44000;Nantes;FR;
DO-0043;company;;;Assureur Laurent EURL;20000000000043;ops43@donneur-43.example.fr;0150000043;;44 chemin des Vignes;;59000;Lille;FR;
DO-0044;individual;Léa;Garcia;;;léa.garcia.do44@example.fr;;0720000044;45 impasse des Lilas;;67000;Strasbourg;FR;
DO-0045;company;;;Assureur Michel SAS;20000000000045;ops45@donneur-45.example.fr;0150000045;;46 allée des Tilleuls;;34000;Montpellier;FR;
DO-0046;company;;;Assureur Garcia SARL;20000000000046;ops46@donneur-46.example.fr;0150000046;;47 rue Nationale;;06000;Nice;FR;
DO-0047;company;;;Assureur David SA;20000000000047;ops47@donneur-47.example.fr;0150000047;;48 cours Mirabeau;;35000;Rennes;FR;
DO-0048;individual;Marie;Dubois;;;marie.dubois.do48@example.fr;;0720000048;49 rue de la Paix;;51100;Reims;FR;
DO-0049;company;;;Assureur Bernard SCI;20000000000049;ops49@donneur-49.example.fr;0150000049;;50 avenue Victor Hugo;;21000;Dijon;FR;
DO-0050;company;;;Assureur Dubois SAS;20000000000050;ops50@donneur-50.example.fr;0150000050;;51 boulevard Haussmann;;80000;Amiens;FR;
DO-0051;company;;;Assureur Thomas SARL;20000000000051;ops51@donneur-51.example.fr;0150000051;;52 rue du Commerce;;76000;Rouen;FR;
DO-0052;individual;Camille;Petit;;;camille.petit.do52@example.fr;;0720000052;53 place de la République;;14000;Caen;FR;
DO-0053;company;;;Assureur Richard EURL;20000000000053;ops53@donneur-53.example.fr;0150000053;;54 chemin des Vignes;;29200;Brest;FR;
DO-0054;company;;;Assureur Petit SCI;20000000000054;ops54@donneur-54.example.fr;0150000054;;55 impasse des Lilas;;29800;Landerneau;FR;
DO-0055;company;;;Assureur Durand SAS;20000000000055;ops55@donneur-55.example.fr;0150000055;;56 allée des Tilleuls;;75001;Paris;FR;
DO-0056;individual;Claire;Simon;;;claire.simon.do56@example.fr;;0720000056;57 rue Nationale;;75002;Paris;FR;
DO-0057;company;;;Assureur Moreau SA;20000000000057;ops57@donneur-57.example.fr;0150000057;;58 cours Mirabeau;;69001;Lyon;FR;
DO-0058;company;;;Assureur Simon EURL;20000000000058;ops58@donneur-58.example.fr;0150000058;;59 rue de la Paix;;69003;Lyon;FR;
DO-0059;company;;;Assureur Laurent SCI;20000000000059;ops59@donneur-59.example.fr;0150000059;;60 avenue Victor Hugo;;13001;Marseille;FR;
DO-0060;individual;Léa;Garcia;;;léa.garcia.do60@example.fr;;0720000060;61 boulevard Haussmann;;33000;Bordeaux;FR;
DO-0061;company;;;Assureur Michel SARL;20000000000061;ops61@donneur-61.example.fr;0150000061;;62 rue du Commerce;;31000;Toulouse;FR;
DO-0062;company;;;Assureur Garcia SA;20000000000062;ops62@donneur-62.example.fr;0150000062;;63 place de la République;;44000;Nantes;FR;
DO-0063;company;;;Assureur David EURL;20000000000063;ops63@donneur-63.example.fr;0150000063;;64 chemin des Vignes;;59000;Lille;FR;
DO-0064;individual;Marie;Dubois;;;marie.dubois.do64@example.fr;;0720000064;65 impasse des Lilas;;67000;Strasbourg;FR;
DO-0065;company;;;Assureur Bernard SAS;20000000000065;ops65@donneur-65.example.fr;0150000065;;66 allée des Tilleuls;;34000;Montpellier;FR;
DO-0066;company;;;Assureur Dubois SARL;20000000000066;ops66@donneur-66.example.fr;0150000066;;67 rue Nationale;;06000;Nice;FR;
DO-0067;company;;;Assureur Thomas SA;20000000000067;ops67@donneur-67.example.fr;0150000067;;68 cours Mirabeau;;35000;Rennes;FR;
DO-0068;individual;Camille;Petit;;;camille.petit.do68@example.fr;;0720000068;69 rue de la Paix;;51100;Reims;FR;
DO-0069;company;;;Assureur Richard SCI;20000000000069;ops69@donneur-69.example.fr;0150000069;;70 avenue Victor Hugo;;21000;Dijon;FR;
DO-0070;company;;;Assureur Petit SAS;20000000000070;ops70@donneur-70.example.fr;0150000070;;71 boulevard Haussmann;;80000;Amiens;FR;
DO-0071;company;;;Assureur Durand SARL;20000000000071;ops71@donneur-71.example.fr;0150000071;;72 rue du Commerce;;76000;Rouen;FR;
DO-0072;individual;Claire;Simon;;;claire.simon.do72@example.fr;;0720000072;73 place de la République;;14000;Caen;FR;
DO-0073;company;;;Assureur Moreau EURL;20000000000073;ops73@donneur-73.example.fr;0150000073;;74 chemin des Vignes;;29200;Brest;FR;
DO-0074;company;;;Assureur Simon SCI;20000000000074;ops74@donneur-74.example.fr;0150000074;;75 impasse des Lilas;;29800;Landerneau;FR;
DO-0075;company;;;Assureur Laurent SAS;20000000000075;ops75@donneur-75.example.fr;0150000075;;76 allée des Tilleuls;;75001;Paris;FR;
DO-0076;individual;Léa;Garcia;;;léa.garcia.do76@example.fr;;0720000076;77 rue Nationale;;75002;Paris;FR;
DO-0077;company;;;Assureur Michel SA;20000000000077;ops77@donneur-77.example.fr;0150000077;;78 cours Mirabeau;;69001;Lyon;FR;
DO-0078;company;;;Assureur Garcia EURL;20000000000078;ops78@donneur-78.example.fr;0150000078;;79 rue de la Paix;;69003;Lyon;FR;
DO-0079;company;;;Assureur David SCI;20000000000079;ops79@donneur-79.example.fr;0150000079;;80 avenue Victor Hugo;;13001;Marseille;FR;
DO-0080;individual;Marie;Dubois;;;marie.dubois.do80@example.fr;;0720000080;81 boulevard Haussmann;;33000;Bordeaux;FR;
DO-0081;company;;;Assureur Bernard SARL;20000000000081;ops81@donneur-81.example.fr;0150000081;;82 rue du Commerce;;31000;Toulouse;FR;
DO-0082;company;;;Assureur Dubois SA;20000000000082;ops82@donneur-82.example.fr;0150000082;;83 place de la République;;44000;Nantes;FR;
DO-0083;company;;;Assureur Thomas EURL;20000000000083;ops83@donneur-83.example.fr;0150000083;;84 chemin des Vignes;;59000;Lille;FR;
DO-0084;individual;Camille;Petit;;;camille.petit.do84@example.fr;;0720000084;85 impasse des Lilas;;67000;Strasbourg;FR;
DO-0085;company;;;Assureur Richard SAS;20000000000085;ops85@donneur-85.example.fr;0150000085;;86 allée des Tilleuls;;34000;Montpellier;FR;
DO-0086;company;;;Assureur Petit SARL;20000000000086;ops86@donneur-86.example.fr;0150000086;;87 rue Nationale;;06000;Nice;FR;
DO-0087;company;;;Assureur Durand SA;20000000000087;ops87@donneur-87.example.fr;0150000087;;88 cours Mirabeau;;35000;Rennes;FR;
DO-0088;individual;Claire;Simon;;;claire.simon.do88@example.fr;;0720000088;89 rue de la Paix;;51100;Reims;FR;
DO-0089;company;;;Assureur Moreau SCI;20000000000089;ops89@donneur-89.example.fr;0150000089;;90 avenue Victor Hugo;;21000;Dijon;FR;
DO-0090;company;;;Assureur Simon SAS;20000000000090;ops90@donneur-90.example.fr;0150000090;;1 boulevard Haussmann;;80000;Amiens;FR;
DO-0091;company;;;Assureur Laurent SARL;20000000000091;ops91@donneur-91.example.fr;0150000091;;2 rue du Commerce;;76000;Rouen;FR;
DO-0092;individual;Léa;Garcia;;;léa.garcia.do92@example.fr;;0720000092;3 place de la République;;14000;Caen;FR;
DO-0093;company;;;Assureur Michel EURL;20000000000093;ops93@donneur-93.example.fr;0150000093;;4 chemin des Vignes;;29200;Brest;FR;
DO-0094;company;;;Assureur Garcia SCI;20000000000094;ops94@donneur-94.example.fr;0150000094;;5 impasse des Lilas;;29800;Landerneau;FR;
DO-0095;company;;;Assureur David SAS;20000000000095;ops95@donneur-95.example.fr;0150000095;;6 allée des Tilleuls;;75001;Paris;FR;
DO-0096;individual;Marie;Dubois;;;marie.dubois.do96@example.fr;;0720000096;7 rue Nationale;;75002;Paris;FR;
DO-0097;company;;;Assureur Bernard SA;20000000000097;ops97@donneur-97.example.fr;0150000097;;8 cours Mirabeau;;69001;Lyon;FR;
DO-0098;company;;;Assureur Dubois EURL;20000000000098;ops98@donneur-98.example.fr;0150000098;;9 rue de la Paix;;69003;Lyon;FR;
DO-0099;company;;;Assureur Thomas SCI;20000000000099;ops99@donneur-99.example.fr;0150000099;;10 avenue Victor Hugo;;13001;Marseille;FR;
DO-0100;individual;Camille;Petit;;;camille.petit.do100@example.fr;;0720000100;11 boulevard Haussmann;;33000;Bordeaux;FR;
DO-0101;company;;;Assureur Richard SARL;20000000000101;ops101@donneur-101.example.fr;0150000101;;12 rue du Commerce;;31000;Toulouse;FR;
DO-0102;company;;;Assureur Petit SA;20000000000102;ops102@donneur-102.example.fr;0150000102;;13 place de la République;;44000;Nantes;FR;
DO-0103;company;;;Assureur Durand EURL;20000000000103;ops103@donneur-103.example.fr;0150000103;;14 chemin des Vignes;;59000;Lille;FR;
DO-0104;individual;Claire;Simon;;;claire.simon.do104@example.fr;;0720000104;15 impasse des Lilas;;67000;Strasbourg;FR;
DO-0105;company;;;Assureur Moreau SAS;20000000000105;ops105@donneur-105.example.fr;0150000105;;16 allée des Tilleuls;;34000;Montpellier;FR;
DO-0106;company;;;Assureur Simon SARL;20000000000106;ops106@donneur-106.example.fr;0150000106;;17 rue Nationale;;06000;Nice;FR;
DO-0107;company;;;Assureur Laurent SA;20000000000107;ops107@donneur-107.example.fr;0150000107;;18 cours Mirabeau;;35000;Rennes;FR;
DO-0108;individual;Léa;Garcia;;;léa.garcia.do108@example.fr;;0720000108;19 rue de la Paix;;51100;Reims;FR;
DO-0109;company;;;Assureur Michel SCI;20000000000109;ops109@donneur-109.example.fr;0150000109;;20 avenue Victor Hugo;;21000;Dijon;FR;
DO-0110;company;;;Assureur Garcia SAS;20000000000110;ops110@donneur-110.example.fr;0150000110;;21 boulevard Haussmann;;80000;Amiens;FR;
DO-0111;company;;;Assureur David SARL;20000000000111;ops111@donneur-111.example.fr;0150000111;;22 rue du Commerce;;76000;Rouen;FR;
DO-0112;individual;Marie;Dubois;;;marie.dubois.do112@example.fr;;0720000112;23 place de la République;;14000;Caen;FR;
DO-0113;company;;;Assureur Bernard EURL;20000000000113;ops113@donneur-113.example.fr;0150000113;;24 chemin des Vignes;;29200;Brest;FR;
DO-0114;company;;;Assureur Dubois SCI;20000000000114;ops114@donneur-114.example.fr;0150000114;;25 impasse des Lilas;;29800;Landerneau;FR;
DO-0115;company;;;Assureur Thomas SAS;20000000000115;ops115@donneur-115.example.fr;0150000115;;26 allée des Tilleuls;;75001;Paris;FR;
DO-0116;individual;Camille;Petit;;;camille.petit.do116@example.fr;;0720000116;27 rue Nationale;;75002;Paris;FR;
DO-0117;company;;;Assureur Richard SA;20000000000117;ops117@donneur-117.example.fr;0150000117;;28 cours Mirabeau;;69001;Lyon;FR;
DO-0118;company;;;Assureur Petit EURL;20000000000118;ops118@donneur-118.example.fr;0150000118;;29 rue de la Paix;;69003;Lyon;FR;
DO-0119;company;;;Assureur Durand SCI;20000000000119;ops119@donneur-119.example.fr;0150000119;;30 avenue Victor Hugo;;13001;Marseille;FR;
DO-0120;individual;Claire;Simon;;;claire.simon.do120@example.fr;;0720000120;31 boulevard Haussmann;;33000;Bordeaux;FR;
DO-0121;company;;;Assureur Moreau SARL;20000000000121;ops121@donneur-121.example.fr;0150000121;;32 rue du Commerce;;31000;Toulouse;FR;
DO-0122;company;;;Assureur Simon SA;20000000000122;ops122@donneur-122.example.fr;0150000122;;33 place de la République;;44000;Nantes;FR;
DO-0123;company;;;Assureur Laurent EURL;20000000000123;ops123@donneur-123.example.fr;0150000123;;34 chemin des Vignes;;59000;Lille;FR;
DO-0124;individual;Léa;Garcia;;;léa.garcia.do124@example.fr;;0720000124;35 impasse des Lilas;;67000;Strasbourg;FR;
DO-0125;company;;;Assureur Michel SAS;20000000000125;ops125@donneur-125.example.fr;0150000125;;36 allée des Tilleuls;;34000;Montpellier;FR;
DO-0126;company;;;Assureur Garcia SARL;20000000000126;ops126@donneur-126.example.fr;0150000126;;37 rue Nationale;;06000;Nice;FR;
DO-0127;company;;;Assureur David SA;20000000000127;ops127@donneur-127.example.fr;0150000127;;38 cours Mirabeau;;35000;Rennes;FR;
DO-0128;individual;Marie;Dubois;;;marie.dubois.do128@example.fr;;0720000128;39 rue de la Paix;;51100;Reims;FR;
DO-0129;company;;;Assureur Bernard SCI;20000000000129;ops129@donneur-129.example.fr;0150000129;;40 avenue Victor Hugo;;21000;Dijon;FR;
DO-0130;company;;;Assureur Dubois SAS;20000000000130;ops130@donneur-130.example.fr;0150000130;;41 boulevard Haussmann;;80000;Amiens;FR;
DO-0131;company;;;Assureur Thomas SARL;20000000000131;ops131@donneur-131.example.fr;0150000131;;42 rue du Commerce;;76000;Rouen;FR;
DO-0132;individual;Camille;Petit;;;camille.petit.do132@example.fr;;0720000132;43 place de la République;;14000;Caen;FR;
DO-0133;company;;;Assureur Richard EURL;20000000000133;ops133@donneur-133.example.fr;0150000133;;44 chemin des Vignes;;29200;Brest;FR;
DO-0134;company;;;Assureur Petit SCI;20000000000134;ops134@donneur-134.example.fr;0150000134;;45 impasse des Lilas;;29800;Landerneau;FR;
DO-0135;company;;;Assureur Durand SAS;20000000000135;ops135@donneur-135.example.fr;0150000135;;46 allée des Tilleuls;;75001;Paris;FR;
DO-0136;individual;Claire;Simon;;;claire.simon.do136@example.fr;;0720000136;47 rue Nationale;;75002;Paris;FR;
DO-0137;company;;;Assureur Moreau SA;20000000000137;ops137@donneur-137.example.fr;0150000137;;48 cours Mirabeau;;69001;Lyon;FR;
DO-0138;company;;;Assureur Simon EURL;20000000000138;ops138@donneur-138.example.fr;0150000138;;49 rue de la Paix;;69003;Lyon;FR;
DO-0139;company;;;Assureur Laurent SCI;20000000000139;ops139@donneur-139.example.fr;0150000139;;50 avenue Victor Hugo;;13001;Marseille;FR;
DO-0140;individual;Léa;Garcia;;;léa.garcia.do140@example.fr;;0720000140;51 boulevard Haussmann;;33000;Bordeaux;FR;
DO-0141;company;;;Assureur Michel SARL;20000000000141;ops141@donneur-141.example.fr;0150000141;;52 rue du Commerce;;31000;Toulouse;FR;
DO-0142;company;;;Assureur Garcia SA;20000000000142;ops142@donneur-142.example.fr;0150000142;;53 place de la République;;44000;Nantes;FR;
DO-0143;company;;;Assureur David EURL;20000000000143;ops143@donneur-143.example.fr;0150000143;;54 chemin des Vignes;;59000;Lille;FR;
DO-0144;individual;Marie;Dubois;;;marie.dubois.do144@example.fr;;0720000144;55 impasse des Lilas;;67000;Strasbourg;FR;
DO-0145;company;;;Assureur Bernard SAS;20000000000145;ops145@donneur-145.example.fr;0150000145;;56 allée des Tilleuls;;34000;Montpellier;FR;
DO-0146;company;;;Assureur Dubois SARL;20000000000146;ops146@donneur-146.example.fr;0150000146;;57 rue Nationale;;06000;Nice;FR;
DO-0147;company;;;Assureur Thomas SA;20000000000147;ops147@donneur-147.example.fr;0150000147;;58 cours Mirabeau;;35000;Rennes;FR;
DO-0148;individual;Camille;Petit;;;camille.petit.do148@example.fr;;0720000148;59 rue de la Paix;;51100;Reims;FR;
DO-0149;company;;;Assureur Richard SCI;20000000000149;ops149@donneur-149.example.fr;0150000149;;60 avenue Victor Hugo;;21000;Dijon;FR;
DO-0150;company;;;Assureur Petit SAS;20000000000150;ops150@donneur-150.example.fr;0150000150;;61 boulevard Haussmann;;80000;Amiens;FR;
DO-0151;company;;;Assureur Durand SARL;20000000000151;ops151@donneur-151.example.fr;0150000151;;62 rue du Commerce;;76000;Rouen;FR;
DO-0152;individual;Claire;Simon;;;claire.simon.do152@example.fr;;0720000152;63 place de la République;;14000;Caen;FR;
DO-0153;company;;;Assureur Moreau EURL;20000000000153;ops153@donneur-153.example.fr;0150000153;;64 chemin des Vignes;;29200;Brest;FR;
DO-0154;company;;;Assureur Simon SCI;20000000000154;ops154@donneur-154.example.fr;0150000154;;65 impasse des Lilas;;29800;Landerneau;FR;
DO-0155;company;;;Assureur Laurent SAS;20000000000155;ops155@donneur-155.example.fr;0150000155;;66 allée des Tilleuls;;75001;Paris;FR;
DO-0156;individual;Léa;Garcia;;;léa.garcia.do156@example.fr;;0720000156;67 rue Nationale;;75002;Paris;FR;
DO-0157;company;;;Assureur Michel SA;20000000000157;ops157@donneur-157.example.fr;0150000157;;68 cours Mirabeau;;69001;Lyon;FR;
DO-0158;company;;;Assureur Garcia EURL;20000000000158;ops158@donneur-158.example.fr;0150000158;;69 rue de la Paix;;69003;Lyon;FR;
DO-0159;company;;;Assureur David SCI;20000000000159;ops159@donneur-159.example.fr;0150000159;;70 avenue Victor Hugo;;13001;Marseille;FR;
DO-0160;individual;Marie;Dubois;;;marie.dubois.do160@example.fr;;0720000160;71 boulevard Haussmann;;33000;Bordeaux;FR;
DO-0161;company;;;Assureur Bernard SARL;20000000000161;ops161@donneur-161.example.fr;0150000161;;72 rue du Commerce;;31000;Toulouse;FR;
DO-0162;company;;;Assureur Dubois SA;20000000000162;ops162@donneur-162.example.fr;0150000162;;73 place de la République;;44000;Nantes;FR;
DO-0163;company;;;Assureur Thomas EURL;20000000000163;ops163@donneur-163.example.fr;0150000163;;74 chemin des Vignes;;59000;Lille;FR;
DO-0164;individual;Camille;Petit;;;camille.petit.do164@example.fr;;0720000164;75 impasse des Lilas;;67000;Strasbourg;FR;
DO-0165;company;;;Assureur Richard SAS;20000000000165;ops165@donneur-165.example.fr;0150000165;;76 allée des Tilleuls;;34000;Montpellier;FR;
DO-0166;company;;;Assureur Petit SARL;20000000000166;ops166@donneur-166.example.fr;0150000166;;77 rue Nationale;;06000;Nice;FR;
DO-0167;company;;;Assureur Durand SA;20000000000167;ops167@donneur-167.example.fr;0150000167;;78 cours Mirabeau;;35000;Rennes;FR;
DO-0168;individual;Claire;Simon;;;claire.simon.do168@example.fr;;0720000168;79 rue de la Paix;;51100;Reims;FR;
DO-0169;company;;;Assureur Moreau SCI;20000000000169;ops169@donneur-169.example.fr;0150000169;;80 avenue Victor Hugo;;21000;Dijon;FR;
DO-0170;company;;;Assureur Simon SAS;20000000000170;ops170@donneur-170.example.fr;0150000170;;81 boulevard Haussmann;;80000;Amiens;FR;
DO-0171;company;;;Assureur Laurent SARL;20000000000171;ops171@donneur-171.example.fr;0150000171;;82 rue du Commerce;;76000;Rouen;FR;
DO-0172;individual;Léa;Garcia;;;léa.garcia.do172@example.fr;;0720000172;83 place de la République;;14000;Caen;FR;
DO-0173;company;;;Assureur Michel EURL;20000000000173;ops173@donneur-173.example.fr;0150000173;;84 chemin des Vignes;;29200;Brest;FR;
DO-0174;company;;;Assureur Garcia SCI;20000000000174;ops174@donneur-174.example.fr;0150000174;;85 impasse des Lilas;;29800;Landerneau;FR;
DO-0175;company;;;Assureur David SAS;20000000000175;ops175@donneur-175.example.fr;0150000175;;86 allée des Tilleuls;;75001;Paris;FR;
DO-0176;individual;Marie;Dubois;;;marie.dubois.do176@example.fr;;0720000176;87 rue Nationale;;75002;Paris;FR;
DO-0177;company;;;Assureur Bernard SA;20000000000177;ops177@donneur-177.example.fr;0150000177;;88 cours Mirabeau;;69001;Lyon;FR;
DO-0178;company;;;Assureur Dubois EURL;20000000000178;ops178@donneur-178.example.fr;0150000178;;89 rue de la Paix;;69003;Lyon;FR;
DO-0179;company;;;Assureur Thomas SCI;20000000000179;ops179@donneur-179.example.fr;0150000179;;90 avenue Victor Hugo;;13001;Marseille;FR;
DO-0180;individual;Camille;Petit;;;camille.petit.do180@example.fr;;0720000180;1 boulevard Haussmann;;33000;Bordeaux;FR;
DO-0181;company;;;Assureur Richard SARL;20000000000181;ops181@donneur-181.example.fr;0150000181;;2 rue du Commerce;;31000;Toulouse;FR;
DO-0182;company;;;Assureur Petit SA;20000000000182;ops182@donneur-182.example.fr;0150000182;;3 place de la République;;44000;Nantes;FR;
DO-0183;company;;;Assureur Durand EURL;20000000000183;ops183@donneur-183.example.fr;0150000183;;4 chemin des Vignes;;59000;Lille;FR;
DO-0184;individual;Claire;Simon;;;claire.simon.do184@example.fr;;0720000184;5 impasse des Lilas;;67000;Strasbourg;FR;
DO-0185;company;;;Assureur Moreau SAS;20000000000185;ops185@donneur-185.example.fr;0150000185;;6 allée des Tilleuls;;34000;Montpellier;FR;
DO-0186;company;;;Assureur Simon SARL;20000000000186;ops186@donneur-186.example.fr;0150000186;;7 rue Nationale;;06000;Nice;FR;
DO-0187;company;;;Assureur Laurent SA;20000000000187;ops187@donneur-187.example.fr;0150000187;;8 cours Mirabeau;;35000;Rennes;FR;
DO-0188;individual;Léa;Garcia;;;léa.garcia.do188@example.fr;;0720000188;9 rue de la Paix;;51100;Reims;FR;
DO-0189;company;;;Assureur Michel SCI;20000000000189;ops189@donneur-189.example.fr;0150000189;;10 avenue Victor Hugo;;21000;Dijon;FR;
DO-0190;company;;;Assureur Garcia SAS;20000000000190;ops190@donneur-190.example.fr;0150000190;;11 boulevard Haussmann;;80000;Amiens;FR;
DO-0191;company;;;Assureur David SARL;20000000000191;ops191@donneur-191.example.fr;0150000191;;12 rue du Commerce;;76000;Rouen;FR;
DO-0192;individual;Marie;Dubois;;;marie.dubois.do192@example.fr;;0720000192;13 place de la République;;14000;Caen;FR;
DO-0193;company;;;Assureur Bernard EURL;20000000000193;ops193@donneur-193.example.fr;0150000193;;14 chemin des Vignes;;29200;Brest;FR;
DO-0194;company;;;Assureur Dubois SCI;20000000000194;ops194@donneur-194.example.fr;0150000194;;15 impasse des Lilas;;29800;Landerneau;FR;
DO-0195;company;;;Assureur Thomas SAS;20000000000195;ops195@donneur-195.example.fr;0150000195;;16 allée des Tilleuls;;75001;Paris;FR;
DO-0196;individual;Camille;Petit;;;camille.petit.do196@example.fr;;0720000196;17 rue Nationale;;75002;Paris;FR;
DO-0197;company;;;Assureur Richard SA;20000000000197;ops197@donneur-197.example.fr;0150000197;;18 cours Mirabeau;;69001;Lyon;FR;
DO-0198;company;;;Assureur Petit EURL;20000000000198;ops198@donneur-198.example.fr;0150000198;;19 rue de la Paix;;69003;Lyon;FR;
DO-0199;company;;;Assureur Durand SCI;20000000000199;ops199@donneur-199.example.fr;0150000199;;20 avenue Victor Hugo;;13001;Marseille;FR;
